season,winner,wins,team,matches_played,win_percentage
2019,Royal Challengers Bangalore,5,Royal Challengers Bangalore,13,38.46153846153847
2019,Sunrisers Hyderabad,6,Sunrisers Hyderabad,15,40.0
2020/21,Chennai Super Kings,6,Chennai Super Kings,14,42.857142857142854
2020/21,Delhi Capitals,9,Delhi Capitals,17,52.94117647058824
2020/21,Kings XI Punjab,6,Kings XI Punjab,14,42.857142857142854
2020/21,Kolkata Knight Riders,7,Kolkata Knight Riders,14,50.0
2020/21,Mumbai Indians,11,Mumbai Indians,16,68.75
2020/21,Rajasthan Royals,6,Rajasthan Royals,14,42.857142857142854
2020/21,Royal Challengers Bangalore,7,Royal Challengers Bangalore,15,46.666666666666664
2020/21,Sunrisers Hyderabad,8,Sunrisers Hyderabad,16,50.0
2021,Chennai Super Kings,11,Chennai Super Kings,16,68.75
2021,Delhi Capitals,10,Delhi Capitals,16,62.5
2021,Kolkata Knight Riders,9,Kolkata Knight Riders,17,52.94117647058824
2021,Mumbai Indians,7,Mumbai Indians,14,50.0
2021,Punjab Kings,6,Punjab Kings,14,42.857142857142854
2021,Rajasthan Royals,5,Rajasthan Royals,14,35.714285714285715
2021,Royal Challengers Bangalore,9,Royal Challengers Bangalore,15,60.0
2021,Sunrisers Hyderabad,3,Sunrisers Hyderabad,14,21.428571428571427
2022,Chennai Super Kings,4,Chennai Super Kings,14,28.57142857142857
2022,Delhi Capitals,7,Delhi Capitals,14,50.0
2022,Gujarat Titans,12,Gujarat Titans,16,75.0
2022,Kolkata Knight Riders,6,Kolkata Knight Riders,14,42.857142857142854
2022,Lucknow Super Giants,9,Lucknow Super Giants,15,60.0
2022,Mumbai Indians,4,Mumbai Indians,14,28.57142857142857
2022,Punjab Kings,7,Punjab Kings,14,50.0
2022,Rajasthan Royals,10,Rajasthan Royals,17,58.82352941176471
2022,Royal Challengers Bangalore,9,Royal Challengers Bangalore,16,56.25
2022,Sunrisers Hyderabad,6,Sunrisers Hyderabad,14,42.857142857142854
2023,Chennai Super Kings,10,Chennai Super Kings,15,66.66666666666666
2023,Delhi Capitals,5,Delhi Capitals,14,35.714285714285715
2023,Gujarat Titans,11,Gujarat Titans,17,64.70588235294117
2023,Kolkata Knight Riders,6,Kolkata Knight Riders,14,42.857142857142854
2023,Lucknow Super Giants,8,Lucknow Super Giants,14,57.14285714285714
2023,Mumbai Indians,9,Mumbai Indians,16,56.25
2023,Punjab Kings,6,Punjab Kings,14,42.857142857142854
2023,Rajasthan Royals,7,Rajasthan Royals,14,50.0
2023,Royal Challengers Bangalore,7,Royal Challengers Bangalore,14,50.0
2023,Sunrisers Hyderabad,4,Sunrisers Hyderabad,14,28.57142857142857
2024,Chennai Super Kings,7,Chennai Super Kings,14,50.0
2024,Delhi Capitals,7,Delhi Capitals,14,50.0
2024,Gujarat Titans,5,Gujarat Titans,12,41.66666666666667
2024,Kolkata Knight Riders,11,Kolkata Knight Riders,14,78.57142857142857
2024,Lucknow Super Giants,7,Lucknow Super Giants,14,50.0
2024,Mumbai Indians,4,Mumbai Indians,14,28.57142857142857
2024,Punjab Kings,5,Punjab Kings,14,35.714285714285715
2024,Rajasthan Royals,9,Rajasthan Royals,15,60.0
2024,Royal Challengers Bengaluru,7,Royal Challengers Bengaluru,15,46.666666666666664
2024,Sunrisers Hyderabad,9,Sunrisers Hyderabad,16,56.25
